<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.20	16:00:00	3369.786	3373.365	3367.784	3371.518	6215	0	160
2025.06.20	17:00:00	3371.461	3371.806	3366.618	3367.356	5526	0	160
2025.06.20	18:00:00	3367.400	3367.974	3364.606	3366.720	4859	0	160
2025.06.20	19:00:00	3366.748	3370.724	3364.853	3365.625	4812	0	160
2025.06.20	20:00:00	3365.578	3369.314	3364.690	3368.546	4102	0	160
2025.06.22	22:00:00	3384.117	3388.960	3372.353	3379.142	16322	0	160
2025.06.22	23:00:00	3379.143	3380.631	3371.173	3372.755	10000	0	160
2025.06.23	00:00:00	3372.776	3373.551	3358.389	3365.716	13745	0	160
2025.06.23	01:00:00	3365.762	3368.093	3351.846	3355.307	16014	0	160
2025.06.23	02:00:00	3355.263	3364.935	3354.759	3361.564	8377	0	160
2025.06.23	03:00:00	3361.502	3366.398	3360.365	3363.372	7279	0	160
2025.06.23	04:00:00	3363.385	3365.061	3356.783	3358.472	5299	0	160
2025.06.23	05:00:00	3358.466	3360.673	3346.971	3356.776	9424	0	160
2025.06.23	06:00:00	3356.874	3359.838	3352.644	3357.578	9170	0	160
2025.06.23	07:00:00	3357.614	3358.771	3351.642	3357.627	8144	0	160
2025.06.23	08:00:00	3357.672	3362.382	3357.672	3361.863	7420	0	160
2025.06.23	09:00:00	3361.808	3368.980	3361.571	3366.542	8489	0	160
2025.06.23	10:00:00	3366.614	3368.240	3363.970	3367.724	6298	0	160
2025.06.23	11:00:00	3367.838	3382.055	3367.838	3380.596	10450	0	160
2025.06.23	12:00:00	3380.667	3381.012	3355.868	3360.462	14004	0	160
2025.06.23	13:00:00	3360.425	3387.768	3359.726	3380.590	19267	0	160
2025.06.23	14:00:00	3380.514	3386.768	3369.812	3386.366	20685	0	160
2025.06.23	15:00:00	3386.402	3389.820	3384.496	3387.240	9735	0	160
2025.06.23	16:00:00	3387.200	3393.565	3380.473	3389.774	15004	0	160
2025.06.23	17:00:00	3389.813	3391.573	3375.607	3382.526	16294	0	160
2025.06.23	18:00:00	3382.553	3387.755	3376.810	3378.635	9783	0	160
2025.06.23	19:00:00	3378.665	3382.142	3375.676	3376.362	7101	0	160
2025.06.23	20:00:00	3376.320	3377.295	3367.229	3368.358	6078	0	160
2025.06.23	22:00:00	3365.986	3366.026	3350.409	3355.464	12562	0	160
2025.06.23	23:00:00	3355.435	3357.332	3341.462	3344.235	14140	0	160
2025.06.24	00:00:00	3344.270	3355.220	3333.168	3351.064	16852	0	160
2025.06.24	01:00:00	3351.054	3354.415	3342.201	3347.775	17483	0	160
2025.06.24	02:00:00	3347.724	3352.948	3345.840	3351.894	8987	0	160
